,Dataset,Impute method,Model-based imputation,Package,Percent data missing,Score (AUC)
236,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.22,0.9254689918277621
237,HeartDisease,MICE,Y,sklearn,0.22,0.9260999004347354
238,HeartDisease,Expectation Maximization,Y,impyute,0.22,0.9268146015910728
239,HeartDisease,Missing Forest,Y,missingpy,0.22,0.9288995573781804
240,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.24,0.9285953506698188
241,HeartDisease,MICE,Y,sklearn,0.24,0.9290238376674548
242,HeartDisease,Expectation Maximization,Y,impyute,0.24,0.9293341213553978
243,HeartDisease,Missing Forest,Y,missingpy,0.24,0.9326241134751772
244,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.26,0.9211251877618784
245,HeartDisease,MICE,Y,sklearn,0.26,0.9223159933591588
246,HeartDisease,Expectation Maximization,Y,impyute,0.26,0.9232103328326351
247,HeartDisease,Missing Forest,Y,missingpy,0.26,0.9188967507312832
248,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.28,0.9179332358289192
249,HeartDisease,MICE,Y,sklearn,0.28,0.9181160566052652
250,HeartDisease,Expectation Maximization,Y,impyute,0.28,0.9169450154162384
251,HeartDisease,Missing Forest,Y,missingpy,0.28,0.9185113447703376
252,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.3,0.9198747040252566
253,HeartDisease,MICE,Y,sklearn,0.3,0.9158001183898976
254,HeartDisease,Expectation Maximization,Y,impyute,0.3,0.9195294001578532
255,HeartDisease,Missing Forest,Y,missingpy,0.3,0.9197661799526441
256,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.32,0.9202093413454034
257,HeartDisease,MICE,Y,sklearn,0.32,0.9211214296862806
258,HeartDisease,Expectation Maximization,Y,impyute,0.32,0.9233504370220073
259,HeartDisease,Missing Forest,Y,missingpy,0.32,0.9195313719369441
260,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.34,0.9187597962382446
261,HeartDisease,MICE,Y,sklearn,0.34,0.9187695924764889
262,HeartDisease,Expectation Maximization,Y,impyute,0.34,0.9179858934169278
263,HeartDisease,Missing Forest,Y,missingpy,0.34,0.9214341692789968
264,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.36,0.9308462506884886
265,HeartDisease,MICE,Y,sklearn,0.36,0.9287266897474232
266,HeartDisease,Expectation Maximization,Y,impyute,0.36,0.9303200487843258
267,HeartDisease,Missing Forest,Y,missingpy,0.36,0.9355230545282872
